word,status,sbert_tokenization,llama_tokenization,4o-mini_word
eqpts,OOV,"e,##q,##pts","eq,pts",
equipments,OOV,"equipment,##s","equip,ments",equipments
eraser,OOV,"erase,##r","eras,er",eraser
erp,Present,"er,##p",erp,
essensuals,OOV,"essen,##su,##als","ess,ensual,s",
excotic,OOV,"ex,##cot,##ic","exc,otic",excotic
exfoliation,OOV,"ex,##folia,##tion","ex,fol,iation",exfoliation
exporters,OOV,"export,##ers","export,ers",exporters
exporters-arctic,OOV,"export,##ers,-,arctic","export,ers,-ar,ctic",
exporters-streax,OOV,"export,##ers,-,st,##rea,##x","export,ers,-st,re,ax",streax
eyelash,OOV,"eye,##lash","ey,el,ash",eyelash
eyeliner,OOV,"eye,##liner","ey,el,iner",eyeliner
facelift,OOV,"face,##lift","fac,el,ift",facelift
faridabad,OOV,"far,##ida,##bad","far,id,abad",faridabad
fastener,OOV,"fast,##ener","fast,ener",fastener
fax,Present,"fa,##x",fax,fax
fidget,OOV,"fi,##dget","f,idget",fidget
filler,OOV,"fill,##er","fill,er",filler
firming,OOV,"firm,##ing","firm,ing",firming
fixer,OOV,"fix,##er","fix,er",fixer
flameless,OOV,"flame,##less","fl,ame,less",flameless
flask,OOV,"fl,##ask","fl,ask",flask
flavoured,OOV,"flavour,##ed","fl,av,oured",flavoured
florists,OOV,"fl,##oris,##ts","fl,or,ists",florists
foodstuff,OOV,"foods,##tu,##ff","food,stuff",foodstuff
fractional,OOV,"fraction,##al","fraction,al",fractional
freckle,OOV,"fr,##eck,##le","f,reck,le",freckle
fringes,OOV,"fringe,##s","fr,inges",fringes
frizz,OOV,"fr,##iz,##z","fr,izz",frizz
fue,OOV,"fu,##e","f,ue",fue
fusio,OOV,"fu,##sio","f,us,io",fusio
galvanic,OOV,"gal,##vani,##c","gal,van,ic",galvanic
ganapati,OOV,"gan,##apa,##ti","gan,ap,ati",ganapati
gangrene,OOV,"gang,##ren,##e","gang,rene",gangrene
gastroenteritis,OOV,"gas,##tro,##enter,##itis","g,astro,enter,itis",gastroenteritis
gemstone,OOV,"gems,##tone","gem,stone",gemstone
ghaziabad,OOV,"g,##ha,##zia,##bad","gh,azi,abad",ghaziabad
glam,OOV,"g,##lam","gl,am",glam
glovite,OOV,"g,##lov,##ite","g,lov,ite",glovite
glycolic,OOV,"g,##ly,##col,##ic","gly,col,ic",glycolic
goan,OOV,"goa,##n","go,an",
goji,OOV,"go,##ji","go,ji",goji
gota,Present,"got,##a",gota,gota
gout,OOV,"go,##ut","g,out",gout
gowns,OOV,"gown,##s","g,owns",gowns
graying,OOV,"gray,##ing","gray,ing",graying
grooming,OOV,"groom,##ing","g,room,ing",grooming
gst,Present,"gs,##t",gst,gst
gurgaon,OOV,"gu,##rga,##on","g,urga,on",gurgaon
guwahati,OOV,"gu,##wa,##hat,##i","gu,w,ah,ati",guwahati
gwalior,OOV,"g,##wal,##ior","g,wal,ior",gwalior
gyms,OOV,"gym,##s","gy,ms",gyms
gynaecology,OOV,"g,##yna,##ec,##ology","g,yna,ec,ology",gynaecology
habib,OOV,"ha,##bib","hab,ib",
haircut,OOV,"hair,##cut","hair,cut",haircut
hairdressing,OOV,"hair,##dre,##ssing","hair,d,ressing",hairdressing
hairstyling,OOV,"hairs,##ty,##ling","ha,irst,yling",hairstyling
hairwash,OOV,"hair,##wash","hair,wash",hairwash
haldi,OOV,"hal,##di","h,aldi",haldi
handicraft,OOV,"hand,##ic,##raf,##t","hand,ic,raft",handicraft
handmade,OOV,"hand,##made","hand,made",handmade
harsha,OOV,"harsh,##a","har,sha",
hasli,OOV,"has,##li","has,li",hasli
hatha,OOV,"hat,##ha","h,atha",hatha
havan,OOV,"ha,##van","h,avan",havan
"head,",OOV,"head,,","head,,",
henna,OOV,"hen,##na","h,enna",henna
hifu,OOV,"hi,##fu","h,ifu",hifu
highlighter,OOV,"highlight,##er","highlight,er",highlighter
himachal,OOV,"him,##achal","him,ach,al",himachal
hina,OOV,"hi,##na","h,ina",hina
hoarding,OOV,"ho,##arding","ho,arding",hoarding
holi,OOV,"ho,##li","hol,i",holi
holistic,OOV,"ho,##listic","hol,istic",holistic
homa,OOV,"ho,##ma","h,oma",
homeopathic,OOV,"home,##opa,##thic","home,opathic",homeopathic
husain,OOV,"hu,##sai,##n","hus,ain",
hydrafacial,OOV,"hydra,##fa,##cial","hy,d,raf,acial",hydrafacial
hydrating,OOV,"hydra,##ting","hydr,ating",hydrating
hydration,Present,"hydra,##tion",hydration,hydration
hydrocele,OOV,"hydro,##cel,##e","hydro,cele",hydrocele
hydrolifting,OOV,"hydro,##lifting","hy,d,rol,ifting",hydrolifting
hydrophyllic,OOV,"hydro,##phy,##lli,##c","hydro,phyl,lic",hydrophyllic
hypnotherapists,OOV,"h,##yp,##not,##her,##ap,##ists","hyp,n,other,ap,ists",hypnotherapists
ielts,OOV,"ie,##lts","iel,ts",ielts
illuminator,OOV,"ill,##umi,##nator","ill,umin,ator",illuminator
implantologist,OOV,"implant,##ologist","impl,ant,ologist",implantologist
importers,OOV,"import,##ers","import,ers",importers
importers-bblunt,OOV,"import,##ers,-,bb,##lun,##t","import,ers,-b,bl,unt",
importers-berina,OOV,"import,##ers,-,be,##rina","import,ers,-,ber,ina",
importers-godrej,OOV,"import,##ers,-,god,##re,##j","import,ers,-g,od,rej",godrej
importers-salon,OOV,"import,##ers,-,salon","import,ers,-s,alon",
importers-tips,OOV,"import,##ers,-,tips","import,ers,-t,ips",
india),OOV,"india,)","ind,ia,)",
indore,OOV,"indo,##re","ind,ore",indore
infertility,OOV,"in,##fer,##tility","inf,ertility",infertility
infusion,OOV,"in,##fusion","inf,usion",infusion
injectable,OOV,"in,##ject,##able","inject,able",injectable
inkjet,OOV,"ink,##jet","ink,jet",inkjet
insomnia,OOV,"ins,##om,##nia","ins,omnia",insomnia
institutes-ccns,OOV,"institutes,-,cc,##ns","in,stit,utes,-,cc,ns",
institutes-lakme,OOV,"institutes,-,la,##km,##e","in,stit,utes,-l,ak,me",institutes-lakme
institutes-shahnaz,OOV,"institutes,-,shah,##na,##z","in,stit,utes,-sh,ahn,az",
insulated,OOV,"ins,##ulated","ins,ulated",insulated
ironing,OOV,"iron,##ing","iron,ing",ironing
jaap,OOV,"ja,##ap","ja,ap",jaap
jacuzzi,OOV,"ja,##cu,##zzi","jac,uzzi",jacuzzi
jamshedpur,OOV,"jam,##shed,##pur","jam,shed,pur",jamshedpur
jawed,OOV,"jaw,##ed","jaw,ed",
jawline,OOV,"jaw,##line","jaw,line",jawline
jcb,OOV,"jc,##b","j,cb",jcb
jnvst,OOV,"j,##n,##vs,##t","j,nv,st",
jute,OOV,"ju,##te","j,ute",jute
juvederm,OOV,"ju,##ved,##er,##m","ju,ved,erm",juvederm
kajal,OOV,"ka,##jal","k,aj,al",kajal
kalari,OOV,"kala,##ri","kal,ari",kalari
kalash,OOV,"kala,##sh","kal,ash",kalash
kalyana,OOV,"ka,##ly,##ana","k,aly,ana",kalyana
kanjivaram,OOV,"kan,##ji,##vara,##m","kan,j,iv,aram",kanjivaram
kanpur,OOV,"kan,##pur","kan,pur",kanpur
karnal,OOV,"ka,##rna,##l","k,arn,al",
kathak,OOV,"kat,##hak","k,ath,ak",kathak
kerastase,OOV,"ke,##ras,##tase","ker,ast,ase",kerastase
keratin,OOV,"ke,##rat,##in","ker,atin",keratin
ketu,OOV,"ke,##tu","ket,u",ketu
khadi,OOV,"k,##had,##i","kh,adi",khadi
kimera,OOV,"kim,##era","kim,era",kimera
kolhapur,OOV,"ko,##l,##ha,##pur","kol,hap,ur",kolhapur
kuchipudi,OOV,"ku,##chi,##pu,##di","k,uch,ip,udi",kuchipudi
kundan,OOV,"kun,##dan","k,undan",kundan
kurti,OOV,"kurt,##i","k,urt,i",kurti
lactic,OOV,"lac,##tic","l,actic",lactic
lakme,OOV,"la,##km,##e","lak,me",lakme
laure,OOV,"lau,##re","la,ure",
lawns,OOV,"lawn,##s","law,ns",
legging,OOV,"leg,##ging","leg,ging",legging
lehenga,OOV,"le,##hen,##ga","leh,enga",lehenga
leucoderma,OOV,"le,##uc,##oder,##ma","le,uc,oder,ma",leucoderma
leucorrhoea,OOV,"le,##uc,##or,##rh,##oe,##a","le,uc,orrh,oe,a",leucorrhoea
lice,Present,"li,##ce",lice,lice
lightening,OOV,"light,##ening","light,ening",lightening
limelite,OOV,"lime,##lite","lim,elite",limelite
lipidium,OOV,"lip,##idium","lip,id,ium",lipidium
lipoplasty,OOV,"lip,##op,##las,##ty","lip,oplast,y",lipoplasty
liposelection,OOV,"lip,##ose,##le,##ction","lip,ose,lection",liposelection
liposoluble,OOV,"lip,##oso,##lub,##le","lip,os,ol,uble",liposoluble
liposuction,OOV,"lip,##os,##uc,##tion","lip,os,uction",liposuction
lomi,OOV,"lo,##mi","l,omi",lomi
lonos,OOV,"lo,##nos","lon,os",lonos
loofah,OOV,"lo,##of,##ah","lo,of,ah",loofah
loreal,OOV,"lore,##al","lo,real",loreal
lotion,OOV,"lot,##ion","l,otion",lotion
ludhiana,OOV,"lu,##dhi,##ana","l,ud,h,iana",ludhiana
lulur,OOV,"lulu,##r","l,ulur",lulur
lycra,OOV,"l,##y,##cr,##a","ly,c,ra",lycra
lymphatic,OOV,"l,##ym,##pha,##tic","ly,mph,atic",lymphatic
macros,Present,"macro,##s",macros,
madurai,OOV,"mad,##urai","mad,urai",madurai
mahamrutyunjay,OOV,"maha,##m,##rut,##yu,##n,##ja,##y","mah,am,r,uty,unj,ay",
maharashtrian,OOV,"maha,##ras,##ht,##rian","mah,ar,ash,tr,ian",maharashtrian
makeover,OOV,"make,##over","make,over",makeover
mandap,OOV,"man,##da,##p","mand,ap",mandap
mandapams,OOV,"man,##da,##pa,##ms","mand,ap,ams",mandapams
mangal,OOV,"manga,##l","m,ang,al",mangal
manicure,OOV,"mani,##cure","man,ic,ure",manicure
manufacturers-bodycraft,OOV,"manufacturers,-,body,##craft","manufact,urers,-body,craft",manufacturers-bodycraft
massager,OOV,"massage,##r","mass,ager",massager
masssage,OOV,"mass,##sa,##ge","mass,sage",masssage
matrimonial,OOV,"mat,##rim,##onia,##l","mat,rimon,ial",matrimonial
maxillo,OOV,"maxi,##llo","max,illo",maxillo
maxillofacial,OOV,"maxi,##llo,##fa,##cial","max,illo,fac,ial",maxillofacial
meerut,OOV,"me,##er,##ut","meer,ut",meerut
mehandi,OOV,"me,##hand,##i","m,eh,andi",mehandi
mehendi,OOV,"me,##hend,##i","m,eh,endi",mehendi
mehndi,OOV,"me,##hn,##di","m,eh,nd,i",mehndi
melasma,OOV,"mel,##as,##ma","mel,asma",melasma
mesotherapy,OOV,"me,##so,##therapy","mes,otherapy",mesotherapy
microblading,OOV,"micro,##bla,##ding","micro,bl,ading",microblading
microdermabrasion,OOV,"micro,##der,##ma,##bra,##sion","micro,der,m,abras,ion",microdermabrasion
microlysis,OOV,"micro,##lysis","micro,ly,sis",
microneedling,OOV,"micro,##nee,##dling","mic,rone,ed,ling",microneedling
midriff,OOV,"mid,##ri,##ff","mid,r,iff",midriff
migraine,OOV,"mig,##raine","m,igr,aine",migraine
minakari,OOV,"mina,##kari","min,ak,ari",minakari
minto,OOV,"mint,##o","m,into",
miraj,OOV,"mira,##j","mir,aj",miraj
mohiniyattam,OOV,"mo,##hini,##yat,##tam","m,oh,ini,y,att,am",mohiniyattam
moisturiser,OOV,"moist,##uri,##ser","mo,ist,ur,iser",moisturiser
moisturising,OOV,"moist,##uri,##sing","mo,ist,ur,ising",moisturising
monofilament,OOV,"mono,##fi,##lam,##ent","mon,ofil,ament",monofilament
monofiliment,OOV,"mono,##fi,##lim,##ent","mon,ofil,iment",
mousse,OOV,"mo,##uss,##e","m,ousse",mousse
moustache,OOV,"mo,##ust,##ache","m,oust,ache",moustache
movers,OOV,"move,##rs","m,overs",
mrityunjaya,OOV,"mri,##ty,##un,##ja,##ya","mr,ity,unj,aya",mrityunjaya
n+,OOV,"n,+","n,+",
nagpur,OOV,"na,##gpur","n,ag,pur",nagpur
nailbox,OOV,"nail,##box","n,ail,box",nailbox
namkaran,OOV,"nam,##kara,##n","nam,k,aran",namkaran
nanokeratin,OOV,"nano,##ker,##atin","nan,oker,atin",nanokeratin
nanoplastia,OOV,"nano,##pl,##ast,##ia","nan,oplast,ia",nanoplastia
nashik,OOV,"nash,##ik","n,ash,ik",nashik
naturals,OOV,"natural,##s","n,atur,als",
naturopathy,OOV,"nat,##uro,##pathy","nat,u,rop,athy",naturopathy
navagraha,OOV,"na,##va,##gra,##ha","nav,agra,ha",navagraha
navel,OOV,"nave,##l","nav,el",navel
navgrah,OOV,"na,##v,##gra,##h","nav,gr,ah",navgrah
navratri,OOV,"na,##vr,##at,##ri","nav,r,atri",navratri
ncert,OOV,"nc,##ert","nc,ert",ncert
needling,OOV,"need,##ling","need,ling",needling
neem,OOV,"nee,##m","ne,em",neem
neet,OOV,"nee,##t","ne,et",neet
nielit,OOV,"ni,##eli,##t","ni,el,it",nielit
nikhar,OOV,"nik,##har","nik,har",nikhar
nipper,OOV,"ni,##pper","nip,per",nipper
noida,OOV,"no,##ida","n,oid,a",noida
notepad,OOV,"note,##pad","not,epad",notepad
nupur,OOV,"nu,##pur","n,up,ur",nupur
nutri,OOV,"nut,##ri","nut,ri",nutri
nutritionists,OOV,"nutrition,##ists","nutrition,ists",nutritionists
o2,OOV,"o,##2","o,2",o2
o3+,OOV,"o,##3,+","o,3,+",o3+
oily,OOV,"oil,##y","o,ily",oily
ointment,Present,"o,##int,##ment",ointment,ointment
olaplex,OOV,"ol,##ap,##le,##x","ol,ap,lex",olaplex
ombre,Present,"om,##bre",ombre,ombre
ophthalmologists,OOV,"op,##ht,##hal,##mo,##logists","oph,thalm,ologists",ophthalmologists
organique,OOV,"organ,##ique","organ,ique",
organisers,OOV,"organise,##rs","organ,isers",organisers
orissa,OOV,"or,##issa","or,issa",orissa
oryza,OOV,"or,##y,##za","ory,za",oryza
osteoarthritis,OOV,"os,##te,##oa,##rth,##rit,##is","ost,eo,ar,thritis",osteoarthritis
oxyblast,OOV,"ox,##y,##bla,##st","oxy,blast",oxyblast
paediatrician,OOV,"pa,##ed,##ia,##tric,##ian","pa,ed,iatric,ian",paediatrician
pampering,OOV,"pam,##per,##ing","p,am,pering",pampering
panache,OOV,"pan,##ache","pan,ache",panache
pandal,OOV,"panda,##l","p,andal",pandal
pandits,OOV,"pandit,##s","p,and,its",pandits
paraffin,OOV,"para,##ffin","par,aff,in",paraffin
paramedical,OOV,"para,##med,##ical","param,ed,ical",paramedical
parlour,OOV,"par,##lou,##r","par,l,our",parlour
parlours,OOV,"par,##lou,##rs","par,l,ours",parlours
parlours-shahnaz,OOV,"par,##lou,##rs,-,shah,##na,##z","par,l,ours,-sh,ahn,az",
parsi,OOV,"par,##si","p,arsi",parsi
patching,OOV,"patch,##ing","patch,ing",patching
pcb,Present,"pc,##b",pcb,
pedicure,OOV,"pe,##dic,##ure","ped,ic,ure",pedicure
peels,OOV,"peel,##s","pe,els",peels
peptic,OOV,"pep,##tic","pe,ptic",peptic
periodontist,OOV,"period,##ont,##ist","period,ont,ist",periodontist
perming,OOV,"per,##ming","per,ming",perming
photofacial,OOV,"photo,##fa,##cial","phot,of,acial",photofacial
photoshoot,OOV,"photos,##hoot","photos,hoot",photoshoot
photoshop,OOV,"photos,##hop","photos,hop",photoshop
physiotherapists,OOV,"ph,##ys,##iot,##her,##ap,##ists","phys,io,ther,ap,ists",physiotherapists
pigmentation,OOV,"pigment,##ation","pig,mentation",pigmentation
pilates,OOV,"pi,##lates","p,il,ates",pilates
pimple,OOV,"pi,##mple","p,imple",pimple
pimples,OOV,"pi,##mple,##s","p,imp,les",pimples
pind,OOV,"pin,##d","p,ind",pind
plated,OOV,"plate,##d","pl,ated",plated
platelet,OOV,"plate,##let","plate,let",platelet
polishing,OOV,"polish,##ing","pol,ishing",polishing
polki,OOV,"polk,##i","pol,ki",polki
pondicherry,OOV,"pond,##iche,##rry","pond,ich,erry",pondicherry
popper,OOV,"pop,##per","pop,per",popper
pore,OOV,"por,##e","p,ore",pore
powerlifting,OOV,"power,##lifting","power,lifting",powerlifting
pratishta,OOV,"pr,##ati,##sh,##ta","pr,atis,hta",pratishta
prenatal,OOV,"pre,##nat,##al","p,ren,atal",prenatal
primer,Present,"prime,##r",primer,primer
professionnel,OOV,"profession,##nel","profession,nel",
profibre,OOV,"prof,##ib,##re","prof,ibre",profibre
prosthetic,OOV,"pro,##st,##hetic","pro,st,hetic",prosthetic
protine,OOV,"pro,##tine","prot,ine",protine
prp,OOV,"pr,##p","pr,p",prp
psoriasis,OOV,"ps,##oria,##sis","ps,oriasis",psoriasis
psychiatrists,OOV,"psychiatrist,##s","psych,iat,rists",psychiatrists
puberty,OOV,"pub,##erty","pub,erty",puberty
puc,OOV,"pu,##c","p,uc",
puffiness,OOV,"puff,##iness","p,uff,iness",puffiness
puja,OOV,"pu,##ja","pu,ja",puja
punyahavachanam,OOV,"pun,##yah,##ava,##chan,##am","pun,yah,av,ach,an,am",punyahavachanam
pusher,OOV,"push,##er","push,er",pusher
qod,OOV,"q,##od","q,od",
quilling,OOV,"qui,##lling","qu,illing",quilling
radiance,OOV,"ra,##dian,##ce","radi,ance",radiance
radiologist,OOV,"radio,##logist","radi,ologist",radiologist
rahu,OOV,"ra,##hu","ra,hu",rahu
raipur,OOV,"rai,##pur","ra,ipur",raipur
rajasthani,OOV,"rajasthan,##i","raj,ast,hani",rajasthani
ranchi,OOV,"ranch,##i","r,anch,i",ranchi
rangoli,OOV,"rang,##oli","rang,oli",rangoli
readymade,OOV,"ready,##made","read,ym,ade",readymade
reaffirming,OOV,"re,##af,##firm,##ing","re,aff,irm,ing",reaffirming
rebonding,OOV,"re,##bon,##ding","reb,ond,ing",rebonding
reconstructive,OOV,"rec,##ons,##truct,##ive","re,construct,ive",reconstructive
refill,OOV,"ref,##ill","ref,ill",refill
reflexo,OOV,"reflex,##o","ref,lex,o",reflexo
reflexology,OOV,"reflex,##ology","ref,lex,ology",reflexology
regrowth,OOV,"reg,##row,##th","reg,rowth",regrowth
rejuvenating,OOV,"re,##ju,##ven,##ating","re,juven,ating",rejuvenating
rejuvenation,OOV,"re,##ju,##ven,##ation","re,juven,ation",rejuvenation
remover,OOV,"remove,##r","rem,over",remover
repeater,OOV,"repeat,##er","re,peater",repeater
resurfacing,OOV,"res,##ur,##fa,##cing","res,urf,acing",resurfacing
resurfing,OOV,"res,##ur,##fin,##g","res,urf,ing",
retailers-amway,OOV,"retailers,-,am,##way","ret,ail,ers,-am,way",amway
retailers-herbalife,OOV,"retailers,-,herbal,##ife","ret,ail,ers,-,her,bal,ife",herbalife
retailers-himalaya,OOV,"retailers,-,him,##ala,##ya","ret,ail,ers,-h,imal,aya",himalaya
retailers-neeru's,OOV,"retailers,-,nee,##ru,',s","ret,ail,ers,-ne,eru,'s",
retailers-patanjali,OOV,"retailers,-,pat,##an,##jali","ret,ail,ers,-p,atan,j,ali",patanjali
retractable,OOV,"re,##tra,##ctable","re,tract,able",retractable
revitalizing,OOV,"rev,##ital,##izing","rev,ital,izing",revitalizing
rheumatologist,OOV,"r,##he,##uma,##to,##logist","r,he,umat,ologist",rheumatologist
rhinoplasty,OOV,"rhino,##pl,##ast,##y","rh,in,oplast,y",rhinoplasty
rhythmical,OOV,"rhythmic,##al","r,hythm,ical",rhythmical
rickshaw,OOV,"rick,##shaw","rick,shaw",rickshaw
rollerball,OOV,"roller,##ball","roller,ball",rollerball
rudrabhishek,OOV,"ru,##dra,##bh,##ish,##ek","rud,rab,his,hek",rudrabhishek
rudraksha,OOV,"ru,##dra,##ksha","rud,rak,sha",rudraksha
ruthu,OOV,"ruth,##u","r,uth,u",
salicylic,OOV,"sal,##ic,##yl,##ic","sal,icy,lic",salicylic
salons,OOV,"salon,##s","sal,ons",salons
sandhya,OOV,"sand,##hya","sand,hya",sandhya
sangeet,OOV,"sang,##eet","s,ange,et",sangeet
saree,OOV,"sar,##ee","s,are,e",saree
satna,OOV,"sat,##na","sat,na",
satyanarayana,OOV,"sat,##yana,##raya,##na","sat,yan,ar,ay,ana",satyanarayana
sauna,OOV,"sa,##una","sa,una",sauna
scissor,OOV,"sci,##sso,##r","sc,issor",scissor
scrapbook,OOV,"scrap,##book","sc,rap,book",scrapbook
scrubbing,OOV,"scrub,##bing","scr,ub,bing",scrubbing
sculpt,OOV,"sc,##ul,##pt","sc,ulpt",sculpt
sculpting,OOV,"sc,##ul,##pt,##ing","sc,ulpt,ing",sculpting
seashell,OOV,"seas,##hell","se,ash,ell",seashell
seaweed,OOV,"sea,##weed","se,aw,eed",seaweed
sebum,OOV,"se,##bu,##m","se,bum",sebum
secretarial,OOV,"secret,##aria,##l","secret,arial",secretarial
seemantham,OOV,"seem,##ant,##ham","se,eman,th,am",seemantham
seitai,OOV,"se,##ita,##i","se,it,ai",seitai
sephora,OOV,"sep,##hora","se,ph,ora",sephora
serioxyl,OOV,"ser,##io,##xy,##l","ser,iox,yl",serioxyl
servcies,OOV,"ser,##vc,##ies","serv,cies",servcies
services-pioneer,OOV,"services,-,pioneer","services,-p,ioneer",
services-sony,OOV,"services,-,sony","services,-,son,y",
sevices,OOV,"se,##vic,##es","se,v,ices",sevices
sfx,OOV,"sf,##x","s,fx",sfx
shaakya,OOV,"sha,##ak,##ya","sha,ak,ya",shaakya
shamiana,OOV,"sham,##iana","sh,am,iana",shamiana
shampoo,OOV,"sham,##poo","sh,ampoo",shampoo
shani,OOV,"shan,##i","sh,ani",shani
shanti,OOV,"shan,##ti","sh,anti",shanti
sharpener,OOV,"sharpe,##ner","sharp,ener",sharpener
shaver,OOV,"shave,##r","sh,aver",shaver
shaving,OOV,"sha,##ving","sh,aving",shaving
shiatsu,OOV,"shia,##tsu","shi,atsu",shiatsu
showroom,OOV,"show,##room","show,room",showroom
showrooms,OOV,"show,##rooms","show,rooms",showrooms
sidelocks,OOV,"side,##lock,##s","sid,el,ocks",sidelocks
sinusitis,OOV,"sin,##us,##itis","sin,us,itis",sinusitis
sipper,OOV,"sip,##per","sip,per",sipper
sitara,OOV,"sit,##ara","sit,ara",sitara
slimming,OOV,"slim,##ming","sl,imming",slimming
smoothening,OOV,"smooth,##ening","sm,oo,then,ing",smoothening
songhai,OOV,"song,##hai","song,hai",songhai
spas,OOV,"spa,##s","sp,as",spas
spatula,OOV,"spat,##ula","sp,at,ula",spatula
spinner,Present,"spin,##ner",spinner,spinner
spondylitis,OOV,"sp,##ond,##yl,##itis","s,pond,yl,itis",spondylitis
spondylosis,OOV,"sp,##ond,##yl,##osis","s,pond,y,los,is",spondylosis
sslc,OOV,"ss,##lc","ss,lc",
stationery,OOV,"station,##ery","station,ery",stationery
stencil,OOV,"ste,##nc,##il","st,encil",stencil
sticker,OOV,"stick,##er","st,icker",sticker
stockists,OOV,"stock,##ists","stock,ists",stockists
straightener,OOV,"straighten,##er","straight,ener",straightener
streaking,OOV,"streak,##ing","st,reak,ing",
strech,OOV,"st,##re,##ch","stre,ch",
stripless,OOV,"strip,##less","strip,less",stripless
studieo7,OOV,"stud,##ie,##o,##7","stud,ie,o,7",studieo7
studio11,OOV,"studio,##11","studio,11",
styler,OOV,"style,##r","sty,ler",styler
stylist,OOV,"st,##yl,##ist","sty,list",stylist
stylists,OOV,"st,##yl,##ists","sty,lists",stylists
subcision,OOV,"sub,##cision","sub,cision",subcision
sudarshana,OOV,"sud,##ars,##hana","s,ud,ar,sh,ana",sudarshana
suddha,OOV,"sud,##dha","s,udd,ha",suddha
sunscreen,OOV,"suns,##creen","sun,screen",sunscreen
surat,OOV,"sur,##at","sur,at",surat
swine,OOV,"sw,##ine","sw,ine",swine
tailoring,OOV,"tailor,##ing","tail,oring",tailoring
tailors,OOV,"tailor,##s","tail,ors",tailors
tamilnadu,OOV,"tamil,##nad,##u","t,amil,nad,u",tamilnadu
tanning,OOV,"tan,##ning","t,anning",tanning
terracotta,OOV,"terra,##cott,##a","ter,rac,otta",terracotta
theraphy,OOV,"the,##raphy","ther,aph,y",theraphy
therapists,OOV,"therapist,##s","ther,ap,ists",therapists
thermo,OOV,"the,##rm,##o","ther,mo",thermo
thermocole,OOV,"the,##rm,##oco,##le","ther,m,oc,ole",thermocole
thermoherb,OOV,"the,##rm,##oh,##er,##b","ther,mo,her,b",thermoherb
thermolysis,OOV,"the,##rm,##ol,##ysis","ther,mol,ysis",thermolysis
threading,OOV,"thread,##ing","thread,ing",threading
tiara,OOV,"tia,##ra","ti,ara",tiara
tinting,OOV,"tin,##ting","t,int,ing",tinting
toner,OOV,"tone,##r","ton,er",toner
tonging,OOV,"tong,##ing","t,ong,ing",tonging
toni&guy,OOV,"toni,&,guy","ton,i,&,g,uy",toni&guy
toning,OOV,"toni,##ng","ton,ing",toning
toothbrush,OOV,"tooth,##brush","to,oth,brush",toothbrush
topaz,OOV,"top,##az","top,az",topaz
toupee,OOV,"to,##up,##ee","t,ou,pee",toupee
transplantation,OOV,"transplant,##ation","trans,plant,ation",transplantation
trendz,OOV,"trend,##z","t,rend,z",trendz
trichologist,OOV,"tri,##cho,##logist","tr,ich,ologist",trichologist
trikatu,OOV,"tri,##kat,##u","tr,ik,atu",trikatu
trimmer,OOV,"trim,##mer","trim,mer",trimmer
trimming,OOV,"trim,##ming","trim,ming",trimming
trousseau,OOV,"tr,##ous,##sea,##u","tr,ousse,au",trousseau
tutorials,OOV,"tutor,##ials","t,utorials",tutorials
tutors,OOV,"tutor,##s","t,utors",tutors
ulcer,OOV,"ul,##cer","ul,cer",ulcer
ultrasonic,OOV,"ultra,##sonic","ul,tr,asonic",ultrasonic
underarm,OOV,"under,##arm","under,arm",underarm
underarms,OOV,"under,##arm,##s","under,arms",underarms
unisex,OOV,"un,##ise,##x","un,isex",unisex
upanayanam,OOV,"up,##ana,##yana,##m","up,an,ayan,am",upanayanam
updo,OOV,"up,##do","up,do",updo
upstyling,OOV,"ups,##ty,##ling","up,sty,ling",upstyling
upto,OOV,"up,##to","upt,o",upto
vadodara,OOV,"va,##do,##dara","v,ad,od,ara",vadodara
vaginal,OOV,"va,##ginal","v,ag,inal",vaginal
vaginoplasty,OOV,"va,##gin,##op,##las,##ty","v,ag,in,oplast,y",vaginoplasty
vastu,OOV,"vast,##u","v,ast,u",vastu
veg,OOV,"ve,##g","ve,g",veg
vegan,OOV,"vega,##n","ve,gan",vegan
veneer,OOV,"ve,##neer","ven,eer",veneer
videographers,OOV,"video,##grapher,##s","vide,ographers",videographers
visakhapatnam,OOV,"visa,##kha,##pa,##t,##nam","vis,akh,apat,nam",visakhapatnam
vitiligo,OOV,"vi,##ti,##li,##go","vit,il,igo",vitiligo
volumizing,OOV,"vol,##umi,##zing","v,olum,izing",volumizing
vurve,OOV,"vu,##r,##ve","v,urve",
wart,Present,"war,##t",wart,wart
warts,Present,"war,##ts",warts,warts
waterproof,OOV,"water,##proof","water,proof",waterproof
waxing,OOV,"wax,##ing","w,ax,ing",waxing
weft,OOV,"we,##ft","we,ft",weft
wefting,OOV,"we,##fting","we,ft,ing",wefting
wella,OOV,"well,##a","w,ella",wella
whitening,OOV,"white,##ning","wh,it,ening",whitening
wholesalers,OOV,"wholesale,##rs","wh,oles,alers",wholesalers
wholesalers-arctic,OOV,"wholesale,##rs,-,arctic","wh,oles,alers,-ar,ctic",
wholesalers-beauty,OOV,"wholesale,##rs,-,beauty","wh,oles,alers,-be,auty",
wholesalers-bodycraft,OOV,"wholesale,##rs,-,body,##craft","wh,oles,alers,-body,craft",bodycraft
wholesalers-cheryl's,OOV,"wholesale,##rs,-,cheryl,',s","wh,oles,alers,-ch,eryl,'s",cheryl
